Job Title,Company Name,Location,Posted Time,Job Link
Data Science Specialist,Genpact,"Bengaluru, Karnataka, India",2024-06-11 11:39:00.670354,https://in.linkedin.com/jobs/view/data-science-specialist-at-genpact-3943429626?position=1&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=Lub0ktSRG1si%2B9RCxtf4%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card
Operational Data Scientist,Microsoft,"Bengaluru, Karnataka, India",2024-06-11 14:39:00.737343,https://in.linkedin.com/jobs/view/operational-data-scientist-at-microsoft-3915727211?position=2&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=obT8P6HvT8wX%2FFcckxOX8Q%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,EXL,"Bengaluru, Karnataka, India",2024-06-11 15:39:00.797649,https://in.linkedin.com/jobs/view/data-scientist-at-exl-3940955691?position=3&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=znXtaSjgjcxfUndPnUX0lw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Neudesic, an IBM Company","Bengaluru, Karnataka, India",2024-06-11 12:39:00.884686,https://in.linkedin.com/jobs/view/data-scientist-at-neudesic-an-ibm-company-3945108341?position=4&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=15QISP9S2dhWRLYLgeCKFA%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",2024-06-11 13:39:00.991231,https://in.linkedin.com/jobs/view/junior-data-scientist-at-ab-inbev-gcc-india-3926013819?position=5&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=mnJDWWcQNWQ4CD9xpil6Gw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,Microsoft,"Bengaluru, Karnataka, India",2024-06-11 15:39:01.067446,https://in.linkedin.com/jobs/view/data-scientist-at-microsoft-3918529930?position=6&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=ePSwAI7Pa93MoEIt8UsqVA%3D%3D&trk=public_jobs_jserp-result_search-card
"AI Data Scientist, Trust and Safety",Google,"Bengaluru, Karnataka, India",2024-06-11 14:39:01.129387,https://in.linkedin.com/jobs/view/ai-data-scientist-trust-and-safety-at-google-3916963569?position=7&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=2QVkdVfdiuEz8G1LJZEA8Q%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,Lenovo,"Bangalore Urban, Karnataka, India",2024-06-11 15:39:01.191891,https://in.linkedin.com/jobs/view/data-scientist-at-lenovo-3931247608?position=8&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=eLksMfMTRtcK8whPV%2FxmMg%3D%3D&trk=public_jobs_jserp-result_search-card
"Business Data Scientist, Finance",Google,"Bengaluru, Karnataka, India",2024-06-11 14:39:01.254400,https://in.linkedin.com/jobs/view/business-data-scientist-finance-at-google-3799379467?position=9&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=vqz0ycss3i4JeY9%2BO1LEeg%3D%3D&trk=public_jobs_jserp-result_search-card
"AI Data Scientist, AI Safety Protection",Google,"Bengaluru, Karnataka, India",2024-06-11 14:39:01.332420,https://in.linkedin.com/jobs/view/ai-data-scientist-ai-safety-protection-at-google-3916967127?position=10&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=Xp9%2BllBZrrNRk%2FQAhPkBgg%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",2024-06-11 11:39:01.404096,https://in.linkedin.com/jobs/view/junior-data-scientist-at-ab-inbev-gcc-india-3940345408?position=11&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=xTXGVMiq71JArtrIn24F%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer,IQVIA,"Bengaluru, Karnataka, India",2024-06-11 12:39:01.469821,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-iqvia-3920676329?position=12&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=RbxLIXnGP0ZJ6VqWFlnGPA%3D%3D&trk=public_jobs_jserp-result_search-card
Decision Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",2024-06-11 12:39:01.534882,https://in.linkedin.com/jobs/view/decision-scientist-at-tesco-bengaluru-3944561383?position=13&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=C3zpRRqFSzvo65jxXmKceA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,redBus,"Bengaluru, Karnataka, India",2024-06-11 14:39:01.602206,https://in.linkedin.com/jobs/view/data-scientist-at-redbus-3926600927?position=14&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=hexWVIiu33DdOBGKzuxD3Q%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,Lenovo,"Bangalore Urban, Karnataka, India",2024-06-11 15:39:01.664976,https://in.linkedin.com/jobs/view/data-scientist-at-lenovo-3931245830?position=15&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=E%2FBmkjwkqU2oqIYX57RLhA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,Obviously AI,"Bengaluru, Karnataka, India",2024-06-11 13:39:01.733984,https://in.linkedin.com/jobs/view/data-scientist-at-obviously-ai-3915937651?position=16&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=KOs9uOw9v%2BWdUZoXbEtYAw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,Infosys,"Bengaluru East, Karnataka, India",2024-06-11 14:39:01.795509,https://in.linkedin.com/jobs/view/data-scientist-at-infosys-3879841489?position=17&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=d5GrU8vXp2D%2F1nJIfBUVlA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,Jio Platforms Limited (JPL),"Bengaluru, Karnataka, India",2024-06-11 13:39:01.862747,https://in.linkedin.com/jobs/view/data-scientist-at-jio-platforms-limited-jpl-3924671072?position=18&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=yJMBUjcZJ4ZmzypDzlLXYA%3D%3D&trk=public_jobs_jserp-result_search-card
AI/ML Engineer,Zamp,"Bangalore Urban district, India",2024-06-11 14:39:01.921723,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-zamp-3935696615?position=19&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=j0SOpjA6lNm9pSeqDnbcvQ%3D%3D&trk=public_jobs_jserp-result_search-card
Applied Data Scientist - 2,Microsoft,"Bengaluru, Karnataka, India",2024-06-11 14:39:01.974980,https://in.linkedin.com/jobs/view/applied-data-scientist-2-at-microsoft-3908306914?position=20&pageNum=0&refId=MfvVpkHVwXkhytwrz8wJfg%3D%3D&trackingId=qFPqlgkQeiaZjOvLm14wZA%3D%3D&trk=public_jobs_jserp-result_search-card
